name,address,rankingPosition,rating,description,numberOfReviews,priceLevel,priceRange,city,latitude,longitude
Ya Bayte,"1 rue des Grands Degres, 75005 Paris France",70,5.0,"Street food libanais, plats frais préparés minute, pain maison, cuissons au charbon de bois, falafel, chawarma, burger",238,$,$7 - $20,Paris,48.851225,2.3500795
Signature Montmartre,"12 Rue des Trois Freres, 75018 Paris France",69,5.0,"French Asian fusion restaurant in Paris Montmartre, just next to the Sacre Coeur. Signature Montmartre Restaurant provides Asian traditional dishes and spices adapted with French gastronomy. Signature Restaurant's chefs cooks quality and healthy products to give you the best of both worlds!",501,$$ - $$$,$38 - $78,Paris,48.8844162,2.3412851
Le Faham by Kelly Rangama,"108 rue Cardinet, 75017 Paris France",77,5.0,"Cuisine traditionnelle gastronomique aux influences ultra-marine, inspirée par la Réunion et les Dom-Tom, la Cheffe Kelly Rangama s'imprègne des plats traditionnels de son enfance à la Réunion et de ses voyages sur les 9 départements d'outre-mer durant son émission culinaire ""voyages et délices"".",152,$$$$,$50 - $65,Paris,48.8856271,2.3117203
L'ARCHESTE,"79 Rue de la Tour, 75116 Paris France",72,5.0,,268,$$$$,$85 - $220,Paris,48.8617957,2.2781329
Les Epiciers,"33 rue de Montmorency, 75003 Paris France",81,5.0,"A typically french wine bar, ""LES EPICIERS"" is the place for tasting cheese and ham platters served with tasty wines selected by the owners themselves. The atmosphère is very cosy and you will rapidly feel like at home As the shop also works as a french deli it is possible to buy and take away typical french products.",295,$$ - $$$,$6 - $25,Paris,48.8633289,2.354049
Zincou Vins & Tapas,"50 rue Blanche, 75009 Paris France",80,5.0,"Zincou is both a wine and tapas restaurant. The chef offers a gourmet French cuisine to share as tapas. We select fresh and local products as much as possible in order to put forward the ""French terroir"". About the cellar, there is a selection of more than 40 wines served by the glass. We propose different types of wine such as organic, biodynamic, or nature ones.",110,$$ - $$$,$10 - $40,Paris,48.8801431,2.3314775
Bistrot Beyrouth,"103 Rue de Charonne, 75011 Paris France",60,4.5,,270,$$ - $$$,$5 - $44,Paris,48.8545826,2.384556
Les Barioles de Maud Paris 9,"12 rue Buffault, 75009 Paris France",59,5.0,"Le seul endroit à Paris pour découvrir et déguster des bariolés !! La cuisine de Maud est 100% maison avec des produits frais et de saison, les bariolés sont des délicieux petits plats ou desserts colorés au naturel pour donner envie d'en croquer :) Vous pourrez déguster des bariolés lors d'un brunch en semaine ou un brunch le week-end, d'un déjeuner (bowl déjeuner), d'un dîner ou même d'un after-work ! En ce moment, le bariolé ""Pomodoro"" vous attend : tomates rôties, mozzarella, pesto de basilic et croûtons maison, dans sa jolie coque rouge croustillante... L'équipe de Maud vous attend tous les jours avec le sourire :)",1203,$$ - $$$,$10 - $30,Paris,48.8755706,2.3419536
Passione,"123 avenue Parmentier, 75011 Paris France",57,5.0,,176,$$$$,,Paris,48.8687821,2.3717738
Domenico's,"8 rue Saint Lazare, 75009 Paris France",39,5.0,"Niché en plein cœur du 9eme arrondissement de Paris, à mi-chemin entre Pigalle et la Gare Saint Lazare, Domenico's propose des recettes traditionnelles siciliennes et du sud de l'Italie remises au goût du jour.",955,$$ - $$$,$20 - $29,Paris,48.8769483,2.3382922
Akira Back Paris,"33 avenue George V, 75008 Paris France",83,5.0,,185,$$$$,,Paris,48.8691274,2.3007665
Madito,"12 rue de Candie, 75011 Paris France",74,5.0,,351,$$ - $$$,,Paris,48.8512719,2.3799601
Bar Italia Brasserie,"22 rue Moncey, 75009 Paris France",99,4.5,,1270,$$ - $$$,$16 - $50,Paris,48.8799549,2.3292922
Bao & ME,"89 rue du Faubourg Poissonniere, 75009 Paris France",38,5.0,,867,$,$11 - $25,Paris,48.8767672,2.3486461
AlKaram,"15 rue Ferdinand Fabre, 75015 Paris France",61,5.0,,869,$$ - $$$,$17 - $32,Paris,48.8384538,2.297076
La Barriere de Clichy,"1 rue de Paris, 92110 Clichy France",2,5.0,,468,$$$$,$25 - $60,Paris,48.8963548,2.3086623
Le Bistrot d'Yves,"33 rue Cardinet, 75017 Paris France",97,5.0,,718,$$ - $$$,$20 - $40,Paris,48.8821046,2.3039341
Publisher - Restaurant,"33 Rue de Constantinople, 75008 Paris France",101,4.5,"Gastro Pub, Draught beers. At Publisher, you can enjoy our own beer, directly brewed in Paris, discover our huge shelf of spirits from all around the world, and eat very fine food. Come and discover our varied menu and a choice of delicious daily dishes! Our staff will welcome you as if you were at home and suggest you atypical dishes from the Publisher's kitchen. Let's enjoy fresh cocktails, french wines, and abnormal products",324,$$ - $$$,$24 - $250,Paris,48.8805205,2.3183206
Le Vent d'Armor,"25 quai de la Tournelle, 75005 Paris France",95,5.0,,437,$$ - $$$,$30 - $70,Paris,48.8501155,2.3541476
Le Maxan Restaurant,"3 rue Quentin Bauchart, 75008 Paris France",75,4.5,,326,$$$$,$38 - $60,Paris,48.8689554,2.2994002
Chez Pitou,"28 rue Tholoze, 75018 Paris France",109,5.0,"home-made cooking, worked with care, fresh products selected for their seasonality and a selection of wines at reasonable price in agreement with the dishes. A warm and friendly place, where to please yourself is the most important. Cooked dishes with passion and a friendly atmosphere to awaken your taste buds. See you soon in Montmartre !",270,$$ - $$$,$10 - $25,Paris,48.8870725,2.3360524
Perception,"53 rue Blanche, 75009 Paris France",52,5.0,,184,$$$$,,Paris,48.8811772,2.3314693
La MiN,"45 Rue de Montreuil, 75011 Paris France",117,5.0,"Place to eat, drink and speak",671,$$ - $$$,$20 - $36,Paris,48.8504937,2.3882853
Jimmy 2 Fois,"15 rue Letort, 75018 Paris France",84,5.0,,490,$$ - $$$,$9 - $17,Paris,48.8943497,2.3430291
MoSuke,"11 rue Raymond Losserand, 75014 Paris France",110,5.0,,349,$$$$,,Paris,48.8362707,2.3224104
La Maison du Boulevard,"40 Boulevard de l'Hopital, 75005 Paris France",54,5.0,,90,$$ - $$$,$15 - $25,Paris,48.840178,2.3616384
Le Confidentiel,"6 rue Robert Estienne, 75008 Paris France",68,4.5,"Upscale French restaurant HALAL kind located in the prestigious golden triangle of Paris, fields axis Elysées, Avenue Montaigne, François 1st Street, The Confidential welcomes you in a cozy lounge setting for a romantic meal, a group, or for a meal of business leader Rudy Suzan will satisfy you thanks to its past experience in the hotel Costes, Durand Smith, the Villa ....",1811,$$$$,$20 - $40,Paris,48.8686746,2.3050081
La Veraison,"64 rue de la Croix Nivert, 75015 Paris France",114,4.5,,726,$$ - $$$,$45 - $60,Paris,48.8449765,2.2972289
Marche Ou Crepe,"18 rue des Haies, 75020 Paris France",76,5.0,,370,$,$9 - $15,Paris,48.8526316,2.4004218
Granite par Tom Meyer,"6 rue Bailleul, 75001 Paris France",82,5.0,"Granite est le nouvel établissement du Groupe Eclore par le chef Tom Meyer, associé à Stéphane Manigold. Lieu vivant faisant la part belle aux matériaux naturels et organiques.",155,$$$$,,Paris,48.8609753,2.3419779
Il Tronchetto,"22 rue de Lourmel, 75015 Paris France",63,5.0,,735,$$ - $$$,,Paris,48.8494498,2.2911526
Origines,"6 rue de Ponthieu, 75008 Paris France",94,5.0,"After 5 years and one Michelin Star at Les Climats, Julien Boscus opened his own restaurant. Based on sourcing of the best french products his cuisine is a real experience of the authentic french cuisine. Wine list with over 500 references awarded with 2 Glasses « Best of Award of Excellence » by Wine Spectator",300,$$$$,$100 - $200,Paris,48.8702009,2.311241
Selva,"22 Rue Du Sommerard, 75005 Paris France",106,5.0,,378,$$ - $$$,$20 - $50,Paris,48.8503232,2.3447986
Restaurant L'INITIAL,"9 rue de Bievre, 75005 Paris France",88,5.0,Opening Times Lunch | Wednesday to Saturday 12.00pm to 1.30pm Dinner | Tuesday to Saturday 7.00pm to 9.00pm,520,$$$$,$48 - $98,Paris,48.8506901,2.3504188
Maison Cluny,"3 rue de Cluny, 75005 Paris France",107,5.0,"Nouvelle adresse bistrot chic dans le 5ème. Carte de produits frais, de saison et renouvelée régulièrement. Après 10 ans au Restaurant Le Cornichon (meilleur bistrot parisien 2013), Franck Bellanger et Matthieu Nadjar reviennent avec une nouvelle adresse encore plus conviviale dans un cadre exceptionnel entre la Sorbonne et le musée de Cluny.",248,$$$$,$35 - $70,Paris,48.8505807,2.3448259
Restaurant Mumi,"14 rue Sauval, 75001 Paris France",90,5.0,,423,$$$$,$33 - $200,Paris,48.8620157,2.3425784
Joyti Restaurant,"148, Rue de Vaugirard, 75015 Paris France",105,5.0,"Traditional indian home made kitchen since 1994. One of Best indian restaurant in Paris specialy for tandoori, cheese nans, butter chicken and all traditional indian recipes. Our dream is to serve best traditional indian food and give the taste of indian culture and love to parisians, Apart from that Our cook is experienced for traditional indian dishes. so we can ensure you the best taste of indian rasoi because it is our mission. We are very special for Tandoori. We are established & serving Indian cuisine in heart of Paris from last 25 years. Our Joyti Restaurant is very close to major tourist attractions like Montparnasse Tower, Eiffel Tower, Louvre Museum. The restaurant is right on Main Street where parking for tourist buses is easy. Our beautiful restaurant is having 65+ seats to provide quick table service (not the buffet) to the customers so they can continue their meals without waiting.",586,$$ - $$$,$20 - $40,Paris,48.8437699,2.3150925
le reciproque,"14 rue Ferdinand Flocon, 75018 Paris France",111,5.0,,373,$$ - $$$,$21 - $47,Paris,48.8916389,2.3461087
Pianovins,"46 rue Trousseau, 75011 Paris France",92,5.0,,214,$$$$,$30 - $64,Paris,48.8524065,2.3791967
XV Burger,"179 rue de Vaugirard, 75015 Paris France",100,5.0,"Let your palate savor real fresh products, this is what this establishment offers you, a guarantee of seriousness and quality that you certainly cannot deny, to test! THE PRESENTATION - Truly highly sought after and elaborate, the presentation of the plates of this restaurant will whet your appetite in seconds, get ready to savor works of art. WELCOME - Warm and very smiling, the welcome offered by the XV Burger restaurant will instantly put you at ease, a real pleasure to share with family or friends, not to be missed!",188,$,,Paris,48.8430748,2.3133022
Restaurant Biscotte,"22 rue Desnouettes, 75015 Paris France",125,5.0,"Attention la fourchette prends des commissions sur les réservations, n'hésitez pas à passer en direct avec vos restaurants.",245,$$ - $$$,$45 - $65,Paris,48.8361105,2.2912586
La Crete,"85 Rue Mouffetard, 75005 Paris France",119,4.5,,1553,$$ - $$$,,Paris,48.8418239,2.3497538
