name,city_name,latitude,longitude,estimated_cost,opening_time,closing_time,closed_days
Milan royal,Paris,48.8340761,2.4198391,5,09:30,18:30,Monday
Ombrette,Paris,48.8336728,2.418609,5,09:30,18:30,Monday
Pigeon de Guinée,Paris,48.833626,2.4188171,5,09:30,18:30,Monday
Roussette paillée africaine,Paris,48.83363,2.4167909,5,09:30,18:30,Monday
Sarcelle hottentote,Paris,48.8335077,2.4186125,5,09:30,18:30,Monday
Souchet d'Europe,Paris,48.8335388,2.4186801,5,09:30,18:30,Monday
Spatule d'Afrique,Paris,48.833693,2.418539,5,09:30,18:30,Monday
Tantale ibis,Paris,48.8336694,2.4188689,5,09:30,18:30,Monday
Tortue rayonnée,Paris,48.8327045,2.4163472,5,09:30,18:30,Monday
Touraco violet,Paris,48.8335913,2.4185543,5,09:30,18:30,Monday
Vanneau armé,Paris,48.8336099,2.4188822,5,09:30,18:30,Monday
Vautour moine,Paris,48.8342155,2.4199097,5,09:30,18:30,Monday
Vautour percnoptère,Paris,48.8341778,2.4198114,5,09:30,18:30,Monday
Vivarium européen,Paris,48.8338149,2.4198954,5,09:30,18:30,Monday
Grille du Coq,Paris,48.8684576,2.3152392,5,09:30,18:30,Monday
Clos de la Rosette,Lyon,45.8335307,4.8072341,5,09:30,18:30,Monday
Bureau de Gustave Eiffel,Paris,48.8582685,2.2945812,5,09:30,18:30,Monday
Musée de l'Ordre de la Libération,Paris,48.8556933,2.311332,15,09:30,18:30,Monday
Musée des Plans-Reliefs,Paris,48.8564589,2.3132374,15,09:30,18:30,Monday
Boutique Souvenirs du Petit Musée de Guignol,Lyon,45.7639034,4.8281374,15,09:30,18:30,Monday
Caborne,Lyon,45.8416918,4.8005465,5,09:30,18:30,Monday
Caborne,Lyon,45.8416918,4.8005465,5,09:30,18:30,Monday
Caborne,Lyon,45.8416918,4.8005465,5,09:30,18:30,Monday
L'Araire,Lyon,45.7088748,4.5916928,15,09:30,18:30,Monday
Cour de l'Etoile d'Or,Paris,48.8522054,2.3749353,5,09:30,18:30,Monday
Musée de l'Homme,Paris,48.8620467,2.2876525,15,09:30,18:30,Monday
Maison des mathématiques et de l'informatique,Lyon,45.7299317,4.8280106,15,09:30,18:30,Monday
Caborne,Lyon,45.8394678,4.8139127,5,09:30,18:30,Monday
Caborne,Lyon,45.8394678,4.8139127,5,09:30,18:30,Monday
Caborne,Lyon,45.8394678,4.8139127,5,09:30,18:30,Monday
Caborne,Lyon,45.8323485,4.812665,5,09:30,18:30,Monday
Caborne,Lyon,45.8323485,4.812665,5,09:30,18:30,Monday
Caborne,Lyon,45.8323485,4.812665,5,09:30,18:30,Monday
Cité des Enfants (2-7 ans),Paris,48.8961521,2.3880996,15,09:30,18:30,Monday
Musée de l'Océanie,Lyon,45.6443418,4.4481263,15,09:30,18:30,Monday
La Tour Rose,Lyon,45.7629626,4.8269316,5,09:30,18:30,Monday
Porte de Riverie,Lyon,45.6311532,4.4535256,5,09:30,18:30,Monday
Tour du Rempart,Lyon,45.6319868,4.4528511,5,09:30,18:30,Monday
Maison des métiers,Lyon,45.6333214,4.4549908,15,09:30,18:30,Monday
#onlylyon,Lyon,45.7305017,4.8182051,5,09:30,18:30,Monday
Défis Pirate,Lyon,45.677051,4.9669635,60,09:30,18:30,Monday
Puits de la Motte,Lyon,45.6781707,4.3845937,5,09:30,18:30,Monday
Musée en Herbe,Paris,48.8601457,2.3421021,15,09:30,18:30,Monday
Fontaine du Fellah,Paris,48.84879,2.3210687,5,09:30,18:30,Monday
Mini World Lyon,Lyon,45.7647877,4.9232356,5,09:30,18:30,Monday
Rue des Eaux,Paris,48.8575654,2.28408,5,09:30,18:30,Monday
Institut Lumière,Lyon,45.7450881,4.8706151,15,09:30,18:30,Monday
Champs Élysées,Paris,48.8707573,2.3053312,5,09:30,18:30,Monday
La Roche Percée,Lyon,45.8509437,4.800456,5,09:30,18:30,Monday
Musée des Archives nationales,Paris,48.8604503,2.3578119,15,09:30,18:30,Monday
Musée Boleslas Biegas,Paris,48.8513131,2.35562,15,09:30,18:30,Monday
Le Génie de la Liberté,Paris,48.8531664,2.3691393,0,09:30,18:30,Monday
Anoa,Paris,48.845316,2.3624736,5,09:30,18:30,Monday
Tortue géante des Seychelles,Paris,48.8445932,2.3596855,5,09:30,18:30,Monday
